[2025-10-11T07:37:59.292+0200] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: file_mover_dag.move_files_if_exist scheduled__2025-10-11T05:22:00+00:00 [queued]>
[2025-10-11T07:37:59.294+0200] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: file_mover_dag.move_files_if_exist scheduled__2025-10-11T05:22:00+00:00 [queued]>
[2025-10-11T07:37:59.294+0200] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2025-10-11T07:37:59.329+0200] {taskinstance.py:2214} INFO - Executing <Task(_PythonDecoratedOperator): move_files_if_exist> on 2025-10-11 05:22:00+00:00
[2025-10-11T07:37:59.335+0200] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'file_mover_dag', 'move_files_if_exist', 'scheduled__2025-10-11T05:22:00+00:00', '--job-id', '239', '--raw', '--subdir', 'DAGS_FOLDER/ingestion_dag.py', '--cfg-path', '/var/folders/rp/syznybx160jd0kg9k7r_sj8w0000gn/T/tmp1e34dh_t']
[2025-10-11T07:37:59.336+0200] {standard_task_runner.py:88} INFO - Job 239: Subtask move_files_if_exist
[2025-10-11T07:37:59.353+0200] {task_command.py:423} INFO - Running <TaskInstance: file_mover_dag.move_files_if_exist scheduled__2025-10-11T05:22:00+00:00 [running]> on host ebots-macbook-pro.local
[2025-10-11T07:37:59.359+0200] {standard_task_runner.py:60} INFO - Started process 44152 to run task
[2025-10-11T07:37:59.377+0200] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='file_mover_dag' AIRFLOW_CTX_TASK_ID='move_files_if_exist' AIRFLOW_CTX_EXECUTION_DATE='2025-10-11T05:22:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-11T05:22:00+00:00'
[2025-10-11T07:37:59.379+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_17.csv
[2025-10-11T07:37:59.379+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_16.csv
[2025-10-11T07:37:59.379+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_14.csv
[2025-10-11T07:37:59.380+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_28.csv
[2025-10-11T07:37:59.380+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_29.csv
[2025-10-11T07:37:59.380+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_15.csv
[2025-10-11T07:37:59.380+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_39.csv
[2025-10-11T07:37:59.381+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_11.csv
[2025-10-11T07:37:59.381+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_10.csv
[2025-10-11T07:37:59.381+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_38.csv
[2025-10-11T07:37:59.382+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_12.csv
[2025-10-11T07:37:59.382+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_13.csv
[2025-10-11T07:37:59.382+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_60.csv
[2025-10-11T07:37:59.382+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_74.csv
[2025-10-11T07:37:59.383+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_48.csv
[2025-10-11T07:37:59.383+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_49.csv
[2025-10-11T07:37:59.383+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_75.csv
[2025-10-11T07:37:59.383+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_61.csv
[2025-10-11T07:37:59.384+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_88.csv
[2025-10-11T07:37:59.384+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_77.csv
[2025-10-11T07:37:59.384+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_63.csv
[2025-10-11T07:37:59.385+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_62.csv
[2025-10-11T07:37:59.385+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_76.csv
[2025-10-11T07:37:59.385+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_89.csv
[2025-10-11T07:37:59.385+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_99.csv
[2025-10-11T07:37:59.386+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_8.csv
[2025-10-11T07:37:59.386+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_72.csv
[2025-10-11T07:37:59.386+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_66.csv
[2025-10-11T07:37:59.387+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_67.csv
[2025-10-11T07:37:59.387+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_73.csv
[2025-10-11T07:37:59.387+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_9.csv
[2025-10-11T07:37:59.387+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_98.csv
[2025-10-11T07:37:59.388+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_59.csv
[2025-10-11T07:37:59.388+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_65.csv
[2025-10-11T07:37:59.388+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_71.csv
[2025-10-11T07:37:59.388+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_70.csv
[2025-10-11T07:37:59.389+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_64.csv
[2025-10-11T07:37:59.389+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_58.csv
[2025-10-11T07:37:59.389+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_82.csv
[2025-10-11T07:37:59.389+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_96.csv
[2025-10-11T07:37:59.390+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_7.csv
[2025-10-11T07:37:59.390+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_41.csv
[2025-10-11T07:37:59.390+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_55.csv
[2025-10-11T07:37:59.390+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_69.csv
[2025-10-11T07:37:59.391+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_68.csv
[2025-10-11T07:37:59.391+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_54.csv
[2025-10-11T07:37:59.391+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_40.csv
[2025-10-11T07:37:59.392+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_6.csv
[2025-10-11T07:37:59.392+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_97.csv
[2025-10-11T07:37:59.392+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_83.csv
[2025-10-11T07:37:59.392+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_95.csv
[2025-10-11T07:37:59.393+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_81.csv
[2025-10-11T07:37:59.393+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_4.csv
[2025-10-11T07:37:59.393+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_56.csv
[2025-10-11T07:37:59.393+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_42.csv
[2025-10-11T07:37:59.394+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_43.csv
[2025-10-11T07:37:59.394+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_57.csv
[2025-10-11T07:37:59.394+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_5.csv
[2025-10-11T07:37:59.394+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_80.csv
[2025-10-11T07:37:59.394+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_94.csv
[2025-10-11T07:37:59.396+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_1.csv
[2025-10-11T07:37:59.396+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_90.csv
[2025-10-11T07:37:59.396+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_84.csv
[2025-10-11T07:37:59.396+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_53.csv
[2025-10-11T07:37:59.397+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_47.csv
[2025-10-11T07:37:59.397+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_46.csv
[2025-10-11T07:37:59.397+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_52.csv
[2025-10-11T07:37:59.398+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_85.csv
[2025-10-11T07:37:59.398+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_91.csv
[2025-10-11T07:37:59.399+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_2.csv
[2025-10-11T07:37:59.399+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_87.csv
[2025-10-11T07:37:59.399+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_93.csv
[2025-10-11T07:37:59.400+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_78.csv
[2025-10-11T07:37:59.400+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_44.csv
[2025-10-11T07:37:59.400+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_50.csv
[2025-10-11T07:37:59.401+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_51.csv
[2025-10-11T07:37:59.401+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_45.csv
[2025-10-11T07:37:59.401+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_79.csv
[2025-10-11T07:37:59.401+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_92.csv
[2025-10-11T07:37:59.402+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_86.csv
[2025-10-11T07:37:59.402+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_3.csv
[2025-10-11T07:37:59.402+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_22.csv
[2025-10-11T07:37:59.403+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_36.csv
[2025-10-11T07:37:59.403+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_37.csv
[2025-10-11T07:37:59.403+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_23.csv
[2025-10-11T07:37:59.403+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_35.csv
[2025-10-11T07:37:59.404+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_21.csv
[2025-10-11T07:37:59.404+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_100.csv
[2025-10-11T07:37:59.404+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_20.csv
[2025-10-11T07:37:59.404+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_34.csv
[2025-10-11T07:37:59.405+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_18.csv
[2025-10-11T07:37:59.405+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_30.csv
[2025-10-11T07:37:59.405+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_24.csv
[2025-10-11T07:37:59.406+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_25.csv
[2025-10-11T07:37:59.406+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_31.csv
[2025-10-11T07:37:59.406+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_19.csv
[2025-10-11T07:37:59.406+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_27.csv
[2025-10-11T07:37:59.407+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_33.csv
[2025-10-11T07:37:59.407+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_32.csv
[2025-10-11T07:37:59.407+0200] {ingestion_dag.py:41} INFO - ✅ Moved file: data_part_26.csv
[2025-10-11T07:37:59.407+0200] {python.py:202} INFO - Done. Returned value was: None
[2025-10-11T07:37:59.410+0200] {taskinstance.py:1149} INFO - Marking task as SUCCESS. dag_id=file_mover_dag, task_id=move_files_if_exist, execution_date=20251011T052200, start_date=20251011T053759, end_date=20251011T053759
[2025-10-11T07:37:59.428+0200] {local_task_job_runner.py:234} INFO - Task exited with return code 0
[2025-10-11T07:37:59.433+0200] {taskinstance.py:3309} INFO - 0 downstream tasks scheduled from follow-on schedule check
