squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
29063,54,1,1,100,37116,3,9,2020,0,1,2467,4910,294,1,1,2916890.0
84148,97,1,0,100,48583,2,10,2005,1,1,9349,9814,864,0,2,8418964.5
67210,22,0,1,68,63246,3,9,2018,0,1,4144,1204,613,1,0,6731422.8
61129,44,1,1,33,91577,10,3,2008,1,0,8553,6798,440,0,10,6121496.8
63416,94,0,0,72,10070,1,8,2016,1,1,3566,6130,141,1,8,6347507.6
12636,70,0,1,28,96190,2,2,2019,1,1,9656,8846,481,0,0,1269858.9
70806,79,0,1,62,84562,6,10,2011,1,1,7008,7774,310,0,1,7089274.1
29589,44,1,1,53,47268,6,5,1999,0,0,4510,9146,923,1,7,2968021.9
14621,40,0,0,41,31633,4,4,1996,0,0,9586,6957,633,0,7,1465123.6
28281,49,0,0,33,78659,8,1,1998,0,0,8210,8529,839,1,5,2829887.8
1832,94,0,1,76,74108,4,8,1992,1,1,1757,7469,937,0,10,190497.2
77216,46,0,0,57,18773,4,5,2007,1,1,578,7732,456,1,4,7723483.7
80909,44,0,0,37,28216,2,9,2019,1,1,1151,6421,627,1,5,8094783.9
64411,88,0,0,28,7876,3,5,2016,0,0,5730,1854,905,1,2,6443803.6
42490,73,0,1,20,25477,10,3,2012,1,1,4773,3534,706,1,8,4252006.2
32724,84,0,0,27,85317,8,4,2021,0,0,6354,4899,757,1,0,3273920.1
4502,94,0,1,90,92912,8,6,2002,0,1,6372,8791,977,1,0,462779.2
95464,28,1,0,88,91646,3,7,2010,1,1,5369,3335,293,1,8,9552982.0
27541,55,1,0,75,93110,6,2,1996,1,0,3935,87,856,1,1,2765257.6
42648,55,1,0,61,65569,5,3,2010,1,1,8489,5873,533,1,1,4271244.0
80002,42,1,0,76,67080,8,2,2015,1,1,5678,8046,135,1,4,8007425.5
